Code,Research agreement,District,Owner age range,Origin of the dog,Breed,Mixed_vs_pure,Size_acc_owners,Weight (Kg),Body condition,Body condition simplified,Size_detailed,Size_cluster,Size_class,Age_years,Age_classification,Animal_age_simplified,Sex,Sterilized or castrated,Household,Other animals in household,Specify,Other_dogs,Other_cats,Diet based on,Diet.simplified,Supplements,Fish_oil_at_least_weekly,Supplement_frequency,Walking time,Other dogs in walks,Interactions with other animals,Interactions_animals_frequency,Lifestyle,Outdoors time unleashed,Time alone without human,Time_no_humans,Dog bathing,Dog habits,Dog vaccination,Veterinarian visits,Antiparasitic treatment,Chronic disease,Specify,Last 2 months: any health issues?,Specify,Last 2 months: any treatment?,Detail about the treatment,Specify,Last 2 months: any antibiotics?,Specify,Last 2 months: any surgery?,Specify,Time (h) passed,Household,Fur in feces?,Vegetation or stones?,Undigested food?,Color,Texture,Follow-up when sampling?
D012,Yes,Pudong New Area District,26-35,Rescued animal / Animal shelter,Mixed breed,Mixed breed,Medium,9.8,Lean or normal weight,Lean or normal weight,III,III,medium,3.6,Mature_adult,Adult,Male,Yes,Apartment,Yes,2 other dogs and a cat,Dog,Cat,Dry food (kibble),Dry food,Other_supp,No,frequently,About 1 hour,(empty),Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,More than 10 hours,More than 6h,Few times a month,Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,Yes,Yes,Seizures,No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,8,undet,Yes,undet,undet,Soft,Different - Updated details
D013,Yes,Hongkou District,26-35,Pet store,Shiba Inu,Pure breed,Medium,10,Lean or normal weight,Lean or normal weight,II/III,II/III,medium,4.6,Mature_adult,Adult,Female,No,Apartment,Yes,Cat,Other,Cat,Dry food (kibble),Dry food,No_supplements,No,sporadically,About 1 hour,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,3-6 hours,Less than 6h,Few times a month,Eats grass or other vegetation|Eats or licks feces or urine,Rabies,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,I know the treatment,Betadine,No,(empty),No,(empty),14,9,Yes,undet,undet,undet,undet,Same
D014,Yes,Yangpu District,36-45,From a friend / relative / particular,Labrador retriever,Pure breed,Big,37,Lean or normal weight,Lean or normal weight,V,V,large,9.3,Early_senior,Senior,Male,No,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,Other_supp,No,sporadically,About 1 hour,No,Few times a year,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,None,Rabies,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),15,10,undet,Yes,undet,undet,Soft,Same
D015,Yes,Pudong New Area District,26-35,Rescued animal / Animal shelter,Border Collie,Pure breed,Medium,18,Lean or normal weight,Lean or normal weight,IV,IV,medium,1,Juvenile,Young,Male,Yes,Apartment,Yes,Dog,Dog,Other,Dry food (kibble),Dry food,No_supplements,No,never,About 1 hour,No,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,7-10 hours,More than 6h,Few times a month,"Drinks water from puddles, ditches, or other drainage systems",Rabies,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,"I don't remember the treatment, but it was for this health condition",(empty),No,(empty),Yes,Sterilization,12,11,undet,Yes,undet,light brown,undet,Updated - no health issues
D016,Yes,Jing'an District,26-35,Pet store,Beagle,Pure breed,Medium,21,Overweight,Obese or overweight,III-overweight,III,medium,6.1,Mature_adult,Adult,Female,Yes,Apartment,Yes,Cats (3),Other,Cat,Dry food (kibble),Dry food,No_supplements,No,never,2 to 3 hours,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,0-2 hours,Less than 6h,Never or few times a year,Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,Yes,No,(empty),Others,she had a tumor on her leg that we operated on (benign),No,(empty),(empty),Yes,(empty),Yes,surgery to remove a benign tumor,0,12,undet,undet,undet,greenish,Very soft,Different - Updated details
D017,Yes,Jing'an District,26-35,Other: Bought in a second-hand app,English bulldog,Pure breed,Medium,20,Lean or normal weight,Lean or normal weight,IV,IV,medium,5.3,Mature_adult,Adult,Female,Yes,Apartment,Yes,Two cats,Other,Cat,Dry food (kibble),Dry food,No_supplements,No,sporadically,About 1 hour,(empty),Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,7-10 hours,More than 6h,Every week,None,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,13,undet,undet,undet,undet,undet,Different - Updated details
D018,Yes,Pudong New Area District,36-45,Stray animals on the roadside,I don't know,Mixed breed,Small,4.5,Lean or normal weight,Lean or normal weight,I,I,small,2.7,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,Other_supp,No,frequently,About 1 hour,Yes,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,3-6 hours,Less than 6h,Weekly,Carries or gnaws sticks,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,14,undet,Yes,maybe,undet,Consistent,Updated - no health issues
D019,Yes,Putuo District,26-35,Pet store,Shiba Inu,Pure breed,Small,11,Lean or normal weight,Lean or normal weight,II/III,II/III,medium,1.2,Young_adult,Young,Male,No,Apartment,Yes,Dog,Dog,Other,Dry food (kibble),Dry food,Yes,Yes,frequently,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Never or few times a year,Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine,Rabies,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),Yes,I know the treatment,Metronidazole file,Yes,I do not remmeber,No,(empty),20,15,Yes,undet,undet,undet,Soft,"Same-Not in treatment anymore, recently healthy"
D020,Yes,Putuo District,18-25,Pet store,Shiba Inu,Pure breed,Small,8.5,Overweight,Obese or overweight,II/III,II/III,medium,1.3,Young_adult,Young,Female,No,Apartment,Yes,Dog,Dog,Other,Dry food (kibble),Dry food,Yes,Yes,frequently,30 min or less,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),7,15,Yes,undet,undet,light brown,Soft,Same
D021,Yes,Putuo District,26-35,Pet store,Shiba Inu,Pure breed,Medium,15,Overweight,Obese or overweight,II/III-overweight,II/III,medium,2.1,Mature_adult,Adult,Male,Yes,Apartment,Yes,"Rutin chicken, cat, hamster",Other,Cat,Dry food (kibble),Dry food,Yes,Yes,frequently,2 to 3 hours,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,Eats grass or other vegetation,Other,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),10,16,Yes,Yes,maybe,undet,undet,Different - Updated details
D022,Yes,Putuo District,26-35,Rescued animal / Animal shelter,Poodle or Toy poodle,Pure breed,Small,4,Lean or normal weight,Lean or normal weight,I,I,small,6.8,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),No,No,Dog-specific home-made food,Fresh food,Yes,Yes,frequently,About 1 hour,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,3-6 hours,Less than 6h,Weekly,None,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,17,Yes,undet,undet,greenish,Soft,Same
D023,Yes,Pudong New Area District,26-35,From a friend / relative / particular,Mixed breed,Mixed breed,Small,5.5,Lean or normal weight,Lean or normal weight,I,I,small,0.4,Puppy,Young,Female,No,Apartment,Yes,Cat,Other,Cat,Dry food (kibble),Dry food,Yes,Yes,frequently,About 1 hour,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,3-6 hours,Less than 6h,Monthly,"Eats soil, clay, or stones|Drinks water from puddles, ditches, or other drainage systems|Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine",Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,18,Yes,undet,undet,undet,Consistent,Different - Updated details
D024,Yes,Putuo District,36-45,Rescued animal / Animal shelter,Poodle or Toy poodle,Pure breed,Small,7,Overweight,Obese or overweight,I-overweight,I,small,10.9,Late_senior,Senior,Male,No,Apartment,Yes,Cat,Other,Cat,Wet food (canned food),Wet food,Unknown,Unknown,sporadically,About 1 hour,No,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,7-10 hours,More than 6h,Few times a month,"Drinks water from puddles, ditches, or other drainage systems|Eats grass or other vegetation|Eats or licks feces or urine",Rabies|Canine parvovirus|Distemper|Canine hepatitis,Multiple times per year,Yes,Yes,"Deaf, enlarged heart, hip displaysia, pimples/bumps","Dermatological disorders (dermatitis, itching, skin infection, etc.)",(empty),Yes,I don't remember,(empty),No,(empty),No,(empty),0,19,undet,undet,undet,undet,undet,Different - Updated details
D025,Yes,Songjiang District,36-45,Stray animals on the roadside,Mixed breed,Mixed breed,Small,12,Lean or normal weight,Lean or normal weight,III,III,medium,1.2,Young_adult,Young,Male,No,Apartment,No,(empty),No,No,Dog-specific home-made food,Fresh food,No_supplements,No,never,2 to 3 hours,No,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a month,7-10 hours,More than 6h,Every week,None,Rabies,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),2,20,undet,undet,undet,greenish,undet,No response
D026,Yes,Minhang District,18-25,Pet store,Border Collie,Pure breed,Medium,16,Lean or normal weight,Lean or normal weight,IV,IV,medium,1.5,Young_adult,Young,Male,No,Apartment,Yes,Cat,Other,Cat,Dry food (kibble),Dry food,Yes,Yes,sporadically,2 to 3 hours,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine,Rabies,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),5,21,Yes,undet,undet,light brown,Hard,Same
D027,Yes,Baoshan District,26-35,Pet store,Shiba Inu,Pure breed,Medium,10,Lean or normal weight,Lean or normal weight,II/III,II/III,medium,1.2,Young_adult,Young,Male,No,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,Yes,Yes,frequently,About 1 hour,No,Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,0-2 hours,Less than 6h,Few times a month,"Eats soil, clay, or stones|Drinks water from puddles, ditches, or other drainage systems|Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine",Rabies,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,I don't remember,(empty),No,(empty),No,(empty),5,22,undet,Yes,undet,greenish,Soft,Different-Updated details
D028,Yes,Baoshan District,36-45,From a friend / relative / particular,Shiba Inu,Pure breed,Medium,6,Lean or normal weight,Lean or normal weight,I,I,small,0.7,Juvenile,Young,Male,No,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,Yes,Yes,frequently,30 min or less,No,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,7-10 hours,More than 6h,Never or few times a year,"Eats soil, clay, or stones|Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine",Rabies,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,I know the treatment,"Betadine, pitafine",No,(empty),No,(empty),20,23,Yes,undet,maybe,light brown,Very soft,Same
D029,Yes,Minhang District,26-35,Pet store,Swiss shepherd,Pure breed,Big,26,Lean or normal weight,Lean or normal weight,IV,IV,medium,1.2,Young_adult,Young,Female,No,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,Yes,Yes,frequently,30 min or less,Yes,Weekly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a week,7-10 hours,More than 6h,Few times a month,"Drinks water from puddles, ditches, or other drainage systems|Carries or gnaws sticks|Eats grass or other vegetation",Rabies,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,I don't remember,(empty),No,(empty),No,(empty),7,24,Yes,undet,undet,light brown,Soft,Different-Updated details
D030,Yes,Xuhui District,56-65,Animal breeder,Cairn terrier,Pure breed,Small,10,Lean or normal weight,Lean or normal weight,III,III,medium,2.1,Mature_adult,Adult,Male,Yes,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,No_supplements,No,never,2 to 3 hours,Yes,Daily,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Few times a month,3-6 hours,Less than 6h,Monthly,"Drinks water from puddles, ditches, or other drainage systems",Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),1,25,Yes,undet,maybe,undet,Soft,Different-Updated details
D031,Yes,Changning District,36-45,Rescued animal / Animal shelter,Mixed breed,Mixed breed,Medium,12,Lean or normal weight,Lean or normal weight,III,III,medium,4.4,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),No,No,Wet food (canned food),Wet food,Yes,Yes,frequently,About 1 hour,(empty),Few times a year,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,More than 6h,Few times a month,Eats grass or other vegetation,Rabies,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),Yes,I know the treatment,(empty),No,(empty),No,(empty),0,26,Yes,undet,undet,brown,undet,Different-Updated details
D032,Yes,Qingpu District,26-35,Rescued animal / Animal shelter,Mixed breed,Mixed breed,Small,4,Lean or normal weight,Lean or normal weight,I,I,small,unknown,unknown,unknown,Female,No,Apartment,Yes,Cat and rabbit,Other,Cat,Dry food (kibble),Dry food,No_supplements,No,never,About 1 hour,Yes,Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,More than 6h,Monthly,Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),2,27,Yes,undet,undet,brown,Soft,Different-Updated details
D033,Yes,Qingpu District,26-35,Pet store,Bernese Mountain Dog,Pure breed,Big,36,Lean or normal weight,Lean or normal weight,V,V,large,1.3,Young_adult,Young,Male,No,House,Yes,Cat,Other,Cat,Dry food (kibble),Dry food,Other_supp,No,frequently,About 1 hour,No,Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,0-2 hours,Less than 6h,Few times a month,"Eats soil, clay, or stones|Carries or gnaws sticks|Eats grass or other vegetation|Eats or licks feces or urine",Rabies,Sporadically if some concern,No,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,I don't remember,(empty),No,(empty),No,(empty),16,28,undet,Yes,maybe,brown,undet,Different-Updated details
D034,Yes,Xuhui District,36-45,Rescued animal / Animal shelter,Yorkshire terrier,Pure breed,Small,3,Lean or normal weight,Lean or normal weight,I,I,small,3.3,Mature_adult,Adult,Female,Yes,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,No_supplements,No,never,2 to 3 hours,(empty),Weekly,Weekly-Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,3-6 hours,Less than 6h,Few times a month,None,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,No,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)|Fleas/ticks/parasites",(empty),Yes,"I don't remember the treatment, but it was for this health condition",(empty),No,(empty),No,(empty),1,29,Yes,undet,undet,brown,Consistent,No health issues within last 2 months
D035,Yes,Songjiang District,26-35,Pet store,French Bulldog,Pure breed,Small,12,Lean or normal weight,Lean or normal weight,III,III,medium,5.6,Mature_adult,Adult,Male,Yes,House,Yes,Dog,Dog,Other,Dry food (kibble),Dry food,Yes,Yes,frequently,About 1 hour,(empty),Daily,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,7-10 hours,More than 6h,Few times a month,Eats or licks feces or urine,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,30,Yes,undet,undet,brown,Consistent,No health issues within last 2 months
D036,Yes,Songjiang District,36-45,Pet store,Golden retriever,Pure breed,Medium,39,Lean or normal weight,Lean or normal weight,V,V,large,7,Early_senior,Senior,Female,No,House,Yes,Two dogs ( one mixed foster and one French bulldog),Dog,Other,Dry food (kibble),Dry food,Yes,Yes,frequently,About 1 hour,(empty),Monthly,Weekly-Monthly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Almost always,7-10 hours,More than 6h,Few times a month,Eats grass or other vegetation|Eats or licks feces or urine,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),3,30,Yes,Yes,undet,undet,Soft,Different - Updated details
D037,Yes,Xuhui District,18-25,Pet store,Poodle or Toy poodle,Pure breed,Small,4.2,Lean or normal weight,Lean or normal weight,I,I,small,2.6,Mature_adult,Adult,Male,No,Apartment,No,(empty),No,No,Dry food (kibble),Dry food,No_supplements,No,never,2 to 3 hours,No,Never,Never-Few_times_a_year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Few times a month,3-6 hours,Less than 6h,Monthly,None,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Multiple times per year,No,Yes,Mild dislocation of hip joint,No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),2,31,undet,undet,undet,greenish,undet,Same
